date_hour,temp_c_hr,temp_f_hr
7/16/2011 15:00:00,25.53,77.96
7/16/2011 16:00:00,24.23,75.61
7/16/2011 17:00:00,24.71,76.48
7/16/2011 18:00:00,24.78,76.60
7/16/2011 19:00:00,24.54,76.17
7/16/2011 20:00:00,23.61,74.50
7/16/2011 21:00:00,23.32,73.98
7/16/2011 22:00:00,22.89,73.20
7/16/2011 23:00:00,23.62,74.51
7/17/2011 00:00:00,23.80,74.84
7/17/2011 01:00:00,22.97,73.34
7/17/2011 02:00:00,23.03,73.46
7/17/2011 03:00:00,23.48,74.26
7/17/2011 04:00:00,23.65,74.58
7/17/2011 05:00:00,23.53,74.35
7/17/2011 06:00:00,23.60,74.48
7/17/2011 07:00:00,24.28,75.70
7/17/2011 08:00:00,25.24,77.43
7/17/2011 09:00:00,25.40,77.73
7/17/2011 10:00:00,25.63,78.13
7/17/2011 11:00:00,26.30,79.34
7/17/2011 12:00:00,26.65,79.96
7/17/2011 13:00:00,26.72,80.10
7/17/2011 14:00:00,26.52,79.73
7/17/2011 15:00:00,26.20,79.16
7/17/2011 16:00:00,25.80,78.44
7/17/2011 17:00:00,25.37,77.67
7/17/2011 18:00:00,24.94,76.90
7/17/2011 19:00:00,24.55,76.19
7/17/2011 20:00:00,24.47,76.05
7/17/2011 21:00:00,24.54,76.17
7/17/2011 22:00:00,24.43,75.97
7/17/2011 23:00:00,23.97,75.14
7/18/2011 00:00:00,24.21,75.58
7/18/2011 01:00:00,23.70,74.65
7/18/2011 02:00:00,23.34,74.01
7/18/2011 07:00:00,24.54,76.18
7/18/2011 08:00:00,25.07,77.13
7/18/2011 09:00:00,25.68,78.22
7/18/2011 10:00:00,26.08,78.94
7/18/2011 11:00:00,26.33,79.39
7/18/2011 12:00:00,26.79,80.22
7/18/2011 13:00:00,26.52,79.74
7/18/2011 14:00:00,26.63,79.94
7/18/2011 15:00:00,26.33,79.39
7/18/2011 16:00:00,26.06,78.91
7/18/2011 17:00:00,24.92,76.86
7/18/2011 18:00:00,24.88,76.79
7/18/2011 19:00:00,24.60,76.28
7/18/2011 20:00:00,24.65,76.37
7/18/2011 21:00:00,24.32,75.78
7/18/2011 22:00:00,24.16,75.49
7/18/2011 23:00:00,24.07,75.32
7/19/2011 00:00:00,24.03,75.25
7/19/2011 01:00:00,23.90,75.02
7/19/2011 02:00:00,24.10,75.39
7/19/2011 03:00:00,23.97,75.14
7/19/2011 04:00:00,23.97,75.14
7/19/2011 05:00:00,23.95,75.12
7/19/2011 06:00:00,23.91,75.03
7/19/2011 07:00:00,24.64,76.35
7/19/2011 08:00:00,25.15,77.27
7/19/2011 09:00:00,25.78,78.41
7/19/2011 10:00:00,26.13,79.04
7/19/2011 11:00:00,26.49,79.69
7/19/2011 12:00:00,26.43,79.58
7/19/2011 13:00:00,26.57,79.82
7/19/2011 14:00:00,26.24,79.24
7/19/2011 15:00:00,25.93,78.68
7/19/2011 16:00:00,25.88,78.59
7/19/2011 17:00:00,25.26,77.47
7/19/2011 18:00:00,24.96,76.92
7/19/2011 19:00:00,24.68,76.42
7/19/2011 20:00:00,24.65,76.38
7/19/2011 21:00:00,24.58,76.25
7/19/2011 22:00:00,24.35,75.82
7/19/2011 23:00:00,24.32,75.78
7/20/2011 00:00:00,24.33,75.80
7/20/2011 01:00:00,24.39,75.91
7/20/2011 02:00:00,24.32,75.77
7/20/2011 03:00:00,22.79,73.03
7/20/2011 04:00:00,22.96,73.32
7/20/2011 05:00:00,22.17,71.90
7/20/2011 06:00:00,21.65,70.96
7/20/2011 07:00:00,22.09,71.77
7/20/2011 08:00:00,23.00,73.41
7/20/2011 09:00:00,24.23,75.61
7/20/2011 10:00:00,25.00,77.01
7/20/2011 11:00:00,25.54,77.97
7/20/2011 12:00:00,25.79,78.42
7/20/2011 13:00:00,26.17,79.11
7/20/2011 14:00:00,26.18,79.13
7/20/2011 15:00:00,26.29,79.33
7/20/2011 16:00:00,25.86,78.55
7/20/2011 17:00:00,25.50,77.90
7/20/2011 18:00:00,24.88,76.79
7/20/2011 19:00:00,24.61,76.29
7/21/2011 01:00:00,24.33,75.79
7/21/2011 02:00:00,24.40,75.92
7/21/2011 03:00:00,24.30,75.73
7/21/2011 04:00:00,24.27,75.68
7/21/2011 05:00:00,24.12,75.41
7/21/2011 06:00:00,24.38,75.88
7/21/2011 07:00:00,24.70,76.45
7/21/2011 08:00:00,25.16,77.29
7/21/2011 09:00:00,25.73,78.31
7/21/2011 10:00:00,25.72,78.30
7/21/2011 11:00:00,25.59,78.07
7/21/2011 12:00:00,25.73,78.32
7/21/2011 13:00:00,25.02,77.03
7/21/2011 14:00:00,25.13,77.23
7/21/2011 15:00:00,24.43,75.97
7/21/2011 16:00:00,24.32,75.78
7/21/2011 17:00:00,23.82,74.88
7/21/2011 18:00:00,23.73,74.71
7/21/2011 19:00:00,24.07,75.32
7/21/2011 20:00:00,23.37,74.07
7/21/2011 21:00:00,23.26,73.87
7/21/2011 22:00:00,23.65,74.58
7/21/2011 23:00:00,23.98,75.16
7/22/2011 00:00:00,23.82,74.88
7/22/2011 01:00:00,23.96,75.13
7/22/2011 02:00:00,23.72,74.70
7/22/2011 03:00:00,24.01,75.22
7/22/2011 04:00:00,24.06,75.31
7/22/2011 05:00:00,24.03,75.26
7/22/2011 06:00:00,23.98,75.16
7/22/2011 07:00:00,23.54,74.38
7/22/2011 08:00:00,23.47,74.25
7/22/2011 09:00:00,24.86,76.75
7/22/2011 10:00:00,25.66,78.19
7/22/2011 11:00:00,26.01,78.81
7/22/2011 12:00:00,25.95,78.71
7/22/2011 13:00:00,26.43,79.57
7/22/2011 14:00:00,25.40,77.72
7/22/2011 15:00:00,25.70,78.25
7/22/2011 16:00:00,25.47,77.85
7/22/2011 17:00:00,25.55,77.99
