date_hour,temp_c_hr,temp_f_hr,,
7/16/2011 15:00:00,25.53,77.96,null,null
7/16/2011 16:00:00,24.23,75.61,null,null
7/16/2011 17:00:00,24.71,76.48,76.785,2
7/16/2011 18:00:00,24.78,76.6,76.6833333333,3
7/16/2011 19:00:00,24.54,76.17,76.6625,4
7/16/2011 20:00:00,23.61,74.5,76.564,5
7/16/2011 21:00:00,23.32,73.98,75.872,5
7/16/2011 22:00:00,22.89,73.2,75.546,5
7/16/2011 23:00:00,23.62,74.51,74.89,5
7/17/2011 00:00:00,23.8,74.84,74.472,5
7/17/2011 01:00:00,22.97,73.34,74.206,5
7/17/2011 02:00:00,23.03,73.46,73.974,5
7/17/2011 03:00:00,23.48,74.26,73.87,5
7/17/2011 04:00:00,23.65,74.58,74.082,5
7/17/2011 05:00:00,23.53,74.35,74.096,5
7/17/2011 06:00:00,23.6,74.48,73.998,5
7/17/2011 07:00:00,24.28,75.7,74.226,5
7/17/2011 08:00:00,25.24,77.43,74.674,5
7/17/2011 09:00:00,25.4,77.73,75.308,5
7/17/2011 10:00:00,25.63,78.13,75.938,5
7/17/2011 11:00:00,26.3,79.34,76.694,5
7/17/2011 12:00:00,26.65,79.96,77.666,5
7/17/2011 13:00:00,26.72,80.1,78.518,5
7/17/2011 14:00:00,26.52,79.73,79.052,5
7/17/2011 15:00:00,26.2,79.16,79.452,5
7/17/2011 16:00:00,25.8,78.44,79.658,5
7/17/2011 17:00:00,25.37,77.67,79.478,5
7/17/2011 18:00:00,24.94,76.9,79.02,5
7/17/2011 19:00:00,24.55,76.19,78.38,5
7/17/2011 20:00:00,24.47,76.05,77.672,5
7/17/2011 21:00:00,24.54,76.17,77.05,5
7/17/2011 22:00:00,24.43,75.97,76.596,5
7/17/2011 23:00:00,23.97,75.14,76.256,5
7/18/2011 00:00:00,24.21,75.58,75.904,5
7/18/2011 01:00:00,23.7,74.65,75.782,5
7/18/2011 02:00:00,23.34,74.01,75.502,5
7/18/2011 03:00:00,,,75.07,5
7/18/2011 04:00:00,,,74.845,4
7/18/2011 05:00:00,,,74.7466666667,3
7/18/2011 06:00:00,,,74.33,2
7/18/2011 07:00:00,24.54,76.18,null,null
