date_hour,temp_f_hr
7/16/2011 15:00:00,77.96
7/16/2011 16:00:00,75.61
7/16/2011 17:00:00,76.48
7/16/2011 18:00:00,76.60
7/16/2011 19:00:00,76.17
7/16/2011 20:00:00,74.50
7/16/2011 21:00:00,73.98
7/16/2011 22:00:00,73.20
7/16/2011 23:00:00,74.51
7/17/2011 00:00:00,74.84
7/17/2011 01:00:00,73.34
7/17/2011 02:00:00,73.46
7/17/2011 03:00:00,74.26
7/17/2011 04:00:00,74.58
7/17/2011 05:00:00,74.35
7/17/2011 06:00:00,74.48
7/17/2011 07:00:00,75.70
7/17/2011 08:00:00,77.43
7/17/2011 09:00:00,77.73
7/17/2011 10:00:00,78.13
7/17/2011 11:00:00,79.34
7/17/2011 12:00:00,79.96
7/17/2011 13:00:00,80.10
7/17/2011 14:00:00,79.73
7/17/2011 15:00:00,79.16
7/17/2011 16:00:00,78.44
7/17/2011 17:00:00,77.67
7/17/2011 18:00:00,76.90
7/17/2011 19:00:00,76.19
7/17/2011 20:00:00,76.05
7/17/2011 21:00:00,76.17
7/17/2011 22:00:00,75.97
7/17/2011 23:00:00,75.14
7/18/2011 00:00:00,75.58
7/18/2011 01:00:00,74.65
7/18/2011 02:00:00,74.01
7/18/2011 03:00:00,73.74
7/18/2011 04:00:00,75.13
7/18/2011 05:00:00,75.02
7/18/2011 06:00:00,75.16
7/18/2011 07:00:00,76.18
7/18/2011 08:00:00,77.13
7/18/2011 09:00:00,78.22
7/18/2011 10:00:00,78.94
7/18/2011 11:00:00,79.39
7/18/2011 12:00:00,80.22
7/18/2011 13:00:00,79.74
7/18/2011 14:00:00,79.94
7/18/2011 15:00:00,79.39
7/18/2011 16:00:00,78.91
7/18/2011 17:00:00,76.86
7/18/2011 18:00:00,76.79
7/18/2011 19:00:00,76.28
7/18/2011 20:00:00,76.37
7/18/2011 21:00:00,75.78
7/18/2011 22:00:00,75.49
7/18/2011 23:00:00,75.32
7/19/2011 00:00:00,75.25
7/19/2011 01:00:00,75.02
7/19/2011 02:00:00,75.39
7/19/2011 03:00:00,75.14
7/19/2011 04:00:00,75.14
7/19/2011 05:00:00,75.12
7/19/2011 06:00:00,75.03
7/19/2011 07:00:00,76.35
7/19/2011 08:00:00,77.27
7/19/2011 09:00:00,78.41
7/19/2011 10:00:00,79.04
7/19/2011 11:00:00,79.69
7/19/2011 12:00:00,79.58
7/19/2011 13:00:00,79.82
7/19/2011 14:00:00,79.24
7/19/2011 15:00:00,78.68
7/19/2011 16:00:00,78.59
7/19/2011 17:00:00,77.47
7/19/2011 18:00:00,76.92
7/19/2011 19:00:00,76.42
7/19/2011 20:00:00,76.38
7/19/2011 21:00:00,76.25
7/19/2011 22:00:00,75.82
7/19/2011 23:00:00,75.78
7/20/2011 00:00:00,75.80
7/20/2011 01:00:00,75.91
7/20/2011 02:00:00,75.77
7/20/2011 03:00:00,73.03
7/20/2011 04:00:00,73.32
7/20/2011 05:00:00,71.90
7/20/2011 06:00:00,70.96
7/20/2011 07:00:00,71.77
7/20/2011 08:00:00,73.41
7/20/2011 09:00:00,75.61
7/20/2011 10:00:00,77.01
7/20/2011 11:00:00,77.97
7/20/2011 12:00:00,78.42
7/20/2011 13:00:00,79.11
7/20/2011 14:00:00,79.13
7/20/2011 15:00:00,79.33
7/20/2011 16:00:00,78.55
7/20/2011 17:00:00,77.90
7/20/2011 18:00:00,76.79
7/20/2011 19:00:00,76.29
7/20/2011 20:00:00,76.22
7/20/2011 21:00:00,76.06
7/20/2011 22:00:00,76.07
